;Level1;art;p_text;p_num;p_text_old
0;I. Lohn;art_322;Der Arbeitgeber hat dem Arbeitnehmer den Lohn zu entrichten, der verabredet oder üblich oder durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt ist. Lebt der Arbeitnehmer in Hausgemeinschaft mit dem Arbeitgeber, so bildet der Unterhalt im Hause mit Unterkunft und Verpflegung einen Teil des Lohnes, sofern nichts anderes verabredet oder üblich ist.;para_1 para_2;Der Arbeitgeber hat dem Arbeitnehmer den Lohn zu entrichten, der verabredet oder üblich oder durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt ist. Lebt der Arbeitnehmer in Hausgemeinschaft mit dem Arbeitgeber, so bildet der Unterhalt im Hause mit Unterkunft und Verpflegung einen Teil des Lohnes, sofern nichts anderes verabredet oder üblich ist.
1;I. Lohn;art_322_a;Hat der Arbeitnehmer vertraglich Anspruch auf einen Anteil am Gewinn oder am Umsatz oder sonst am Geschäftsergebnis, so ist für die Berechnung des Anteils das Ergebnis des Geschäftsjahres massgebend, wie es nach den gesetzlichen Vorschriften und allgemein anerkannten kaufmännischen Grundsätzen festzustellen ist. Der Arbeitgeber hat dem Arbeitnehmer oder an dessen Stelle einem gemeinsam bestimmten oder vom Richter bezeichneten Sachverständigen die nötigen Aufschlüsse zu geben und Einsicht in die Geschäftsbücher zu gewähren, soweit dies zur Nachprüfung erforderlich ist. Ist ein Anteil am Gewinn des Unternehmens verabredet, so ist dem Arbeitnehmer überdies auf Verlangen eine Abschrift der Erfolgsrechnung zu übergeben.;para_1 para_2 para_3;"Hat der Arbeitnehmer vertraglich Anspruch auf einen Anteil am Gewinn oder am Umsatz oder sonst am Geschäftsergebnis, so ist für die Berechnung des Anteils das Ergebnis des Geschäftsjahres massgebend, wie es nach den gesetzlichen Vorschriften und allgemein anerkannten kaufmännischen Grundsätzen festzustellen ist. Der Arbeitgeber hat dem Arbeitnehmer oder an dessen Stelle einem gemeinsam bestimmten oder vom Richter bezeichneten Sachverständigen die nötigen Aufschlüsse zu geben und Einsicht in die Geschäftsbücher zu gewähren, soweit dies zur Nachprüfung erforderlich ist. {'inline': ['Ist ein Anteil am Gewinn des Unternehmens verabredet, so ist dem Arbeitnehmer überdies auf Verlangen eine Abschrift der Erfolgsrechnung zu übergeben.', {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/2012/810', 'b': '2012', '#text': 'AS  6679'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2008/416', 'b': '2008', '#text': 'BBl  1589'}], '#text': 'Fassung gemäss Ziff. I 3 des BG vom 23. Dez. 2011 (Rechnungslegungsrecht), in Kraft seit 1. Jan. 2013 (; ).'}}}]}"
2;I. Lohn;art_322_b;"Ist eine Provision des Arbeitnehmers auf bestimmten Geschäften verabredet, so entsteht der Anspruch darauf, wenn das Geschäft mit dem Dritten rechtsgültig abgeschlossen ist. Bei Geschäften mit gestaffelter Erfüllung sowie bei Versicherungsverträgen kann schriftlich verabredet werden, dass der Provisionsanspruch auf jeder Rate mit ihrer Fälligkeit oder ihrer Leistung entsteht. Der Anspruch auf Provision fällt nachträglich dahin, wenn das Geschäft vom Arbeitgeber ohne sein Verschulden nicht ausgeführt wird oder wenn der Dritte seine Verbindlichkeiten nicht erfüllt; bei nur teilweiser Erfüllung tritt eine verhältnismässige Herabsetzung der Provision ein.";para_1 para_2 para_3;"Ist eine Provision des Arbeitnehmers auf bestimmten Geschäften verabredet, so entsteht der Anspruch darauf, wenn das Geschäft mit dem Dritten rechtsgültig abgeschlossen ist. Bei Geschäften mit gestaffelter Erfüllung sowie bei Versicherungsverträgen kann schriftlich verabredet werden, dass der Provisionsanspruch auf jeder Rate mit ihrer Fälligkeit oder ihrer Leistung entsteht. Der Anspruch auf Provision fällt nachträglich dahin, wenn das Geschäft vom Arbeitgeber ohne sein Verschulden nicht ausgeführt wird oder wenn der Dritte seine Verbindlichkeiten nicht erfüllt; bei nur teilweiser Erfüllung tritt eine verhältnismässige Herabsetzung der Provision ein."
3;I. Lohn;art_322_c;Ist vertraglich nicht der Arbeitnehmer zur Aufstellung der Provisionsabrechnung verpflichtet, so hat ihm der Arbeitgeber auf jeden Fälligkeitstermin eine schriftliche Abrechnung, unter Angabe der provisionspflichtigen Geschäfte, zu übergeben. Der Arbeitgeber hat dem Arbeitnehmer oder an dessen Stelle einem gemeinsam bestimmten oder vom Richter bezeichneten Sachverständigen die nötigen Aufschlüsse zu geben und Einsicht in die für die Abrechnung massgebenden Bücher und Belege zu gewähren, soweit dies zur Nachprüfung erforderlich ist.;para_1 para_2;Ist vertraglich nicht der Arbeitnehmer zur Aufstellung der Provisionsabrechnung verpflichtet, so hat ihm der Arbeitgeber auf jeden Fälligkeitstermin eine schriftliche Abrechnung, unter Angabe der provisionspflichtigen Geschäfte, zu übergeben. Der Arbeitgeber hat dem Arbeitnehmer oder an dessen Stelle einem gemeinsam bestimmten oder vom Richter bezeichneten Sachverständigen die nötigen Aufschlüsse zu geben und Einsicht in die für die Abrechnung massgebenden Bücher und Belege zu gewähren, soweit dies zur Nachprüfung erforderlich ist.
4;I. Lohn;art_322_d;Richtet der Arbeitgeber neben dem Lohn bei bestimmten Anlässen, wie Weihnachten oder Abschluss des Geschäftsjahres, eine Sondervergütung aus, so hat der Arbeitnehmer einen Anspruch darauf, wenn es verabredet ist. Endigt das Arbeitsverhältnis, bevor der Anlass zur Ausrichtung der Sondervergütung eingetreten ist, so hat der Arbeitnehmer einen Anspruch auf einen verhältnismässigen Teil davon, wenn es verabredet ist.;para_1 para_2;Richtet der Arbeitgeber neben dem Lohn bei bestimmten Anlässen, wie Weihnachten oder Abschluss des Geschäftsjahres, eine Sondervergütung aus, so hat der Arbeitnehmer einen Anspruch darauf, wenn es verabredet ist. Endigt das Arbeitsverhältnis, bevor der Anlass zur Ausrichtung der Sondervergütung eingetreten ist, so hat der Arbeitnehmer einen Anspruch auf einen verhältnismässigen Teil davon, wenn es verabredet ist.
5;II. Ausrichtung des Lohnes;art_323;"Sind nicht kürzere Fristen oder andere Termine verabredet oder üblich und ist durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag nichts anderes bestimmt, so ist dem Arbeitnehmer der Lohn Ende jedes Monats auszurichten. Ist nicht eine kürzere Frist verabredet oder üblich, so ist die Provision Ende jedes Monats auszurichten; erfordert jedoch die Durchführung von Geschäften mehr als ein halbes Jahr, so kann durch schriftliche Abrede die Fälligkeit der Provision für diese Geschäfte hinausgeschoben werden. Der Anteil am Geschäftsergebnis ist auszurichten, sobald dieses festgestellt ist, spätestens jedoch sechs Monate nach Ablauf des Geschäftsjahres. Der Arbeitgeber hat dem Arbeitnehmer nach Massgabe der geleisteten Arbeit den Vorschuss zu gewähren, dessen der Arbeitnehmer infolge einer Notlage bedarf und den der Arbeitgeber billigerweise zu gewähren vermag.";para_1 para_2 para_3 para_4;"Sind nicht kürzere Fristen oder andere Termine verabredet oder üblich und ist durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag nichts anderes bestimmt, so ist dem Arbeitnehmer der Lohn Ende jedes Monats auszurichten. Ist nicht eine kürzere Frist verabredet oder üblich, so ist die Provision Ende jedes Monats auszurichten; erfordert jedoch die Durchführung von Geschäften mehr als ein halbes Jahr, so kann durch schriftliche Abrede die Fälligkeit der Provision für diese Geschäfte hinausgeschoben werden. Der Anteil am Geschäftsergebnis ist auszurichten, sobald dieses festgestellt ist, spätestens jedoch sechs Monate nach Ablauf des Geschäftsjahres. Der Arbeitgeber hat dem Arbeitnehmer nach Massgabe der geleisteten Arbeit den Vorschuss zu gewähren, dessen der Arbeitnehmer infolge einer Notlage bedarf und den der Arbeitgeber billigerweise zu gewähren vermag."
6;II. Ausrichtung des Lohnes;art_323_a;"Sofern es verabredet oder üblich oder durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt ist, darf der Arbeitgeber einen Teil des Lohnes zurückbehalten. Von dem am einzelnen Zahltag fälligen Lohn darf nicht mehr als ein Zehntel des Lohnes und im gesamten nicht mehr als der Lohn für eine Arbeitswoche zurückbehalten werden; jedoch kann ein höherer Lohnrückbehalt durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag vorgesehen werden. Ist nichts anderes verabredet oder üblich oder durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt, so gilt der zurückbehaltene Lohn als Sicherheit für die Forderungen des Arbeitgebers aus dem Arbeitsverhältnis und nicht als Konventionalstrafe.";para_1 para_2 para_3;"Sofern es verabredet oder üblich oder durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt ist, darf der Arbeitgeber einen Teil des Lohnes zurückbehalten. Von dem am einzelnen Zahltag fälligen Lohn darf nicht mehr als ein Zehntel des Lohnes und im gesamten nicht mehr als der Lohn für eine Arbeitswoche zurückbehalten werden; jedoch kann ein höherer Lohnrückbehalt durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag vorgesehen werden. Ist nichts anderes verabredet oder üblich oder durch Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt, so gilt der zurückbehaltene Lohn als Sicherheit für die Forderungen des Arbeitgebers aus dem Arbeitsverhältnis und nicht als Konventionalstrafe."
7;II. Ausrichtung des Lohnes;art_323_b;"Der Geldlohn ist dem Arbeitnehmer in gesetzlicher Währung innert der Arbeitszeit auszurichten, sofern nichts anderes verabredet oder üblich ist; dem Arbeitnehmer ist eine schriftliche Abrechnung zu übergeben. Der Arbeitgeber darf Gegenforderungen mit der Lohnforderung nur soweit verrechnen, als diese pfändbar ist, jedoch dürfen Ersatzforderungen für absichtlich zugefügten Schaden unbeschränkt verrechnet werden. Abreden über die Verwendung des Lohnes im Interesse des Arbeitgebers sind nichtig.";para_1 para_2 para_3;"Der Geldlohn ist dem Arbeitnehmer in gesetzlicher Währung innert der Arbeitszeit auszurichten, sofern nichts anderes verabredet oder üblich ist; dem Arbeitnehmer ist eine schriftliche Abrechnung zu übergeben. Der Arbeitgeber darf Gegenforderungen mit der Lohnforderung nur soweit verrechnen, als diese pfändbar ist, jedoch dürfen Ersatzforderungen für absichtlich zugefügten Schaden unbeschränkt verrechnet werden. Abreden über die Verwendung des Lohnes im Interesse des Arbeitgebers sind nichtig."
8;III. Lohn bei Verhinderung an der Arbeitsleistung;art_324;Kann die Arbeit infolge Verschuldens des Arbeitgebers nicht geleistet werden oder kommt er aus anderen Gründen mit der Annahme der Arbeitsleistung in Verzug, so bleibt er zur Entrichtung des Lohnes verpflichtet, ohne dass der Arbeitnehmer zur Nachleistung verpflichtet ist. Der Arbeitnehmer muss sich auf den Lohn anrechnen lassen, was er wegen Verhinderung an der Arbeitsleistung erspart oder durch anderweitige Arbeit erworben oder zu erwerben absichtlich unterlassen hat.;para_1 para_2;Kann die Arbeit infolge Verschuldens des Arbeitgebers nicht geleistet werden oder kommt er aus anderen Gründen mit der Annahme der Arbeitsleistung in Verzug, so bleibt er zur Entrichtung des Lohnes verpflichtet, ohne dass der Arbeitnehmer zur Nachleistung verpflichtet ist. Der Arbeitnehmer muss sich auf den Lohn anrechnen lassen, was er wegen Verhinderung an der Arbeitsleistung erspart oder durch anderweitige Arbeit erworben oder zu erwerben absichtlich unterlassen hat.
9;III. Lohn bei Verhinderung an der Arbeitsleistung;art_324_a;Wird der Arbeitnehmer aus Gründen, die in seiner Person liegen, wie Krankheit, Unfall, Erfüllung gesetzlicher Pflichten oder Ausübung eines öffentlichen Amtes, ohne sein Verschulden an der Arbeitsleistung verhindert, so hat ihm der Arbeitgeber für eine beschränkte Zeit den darauf entfallenden Lohn zu entrichten, samt einer angemessenen Vergütung für ausfallenden Naturallohn, sofern das Arbeitsverhältnis mehr als drei Monate gedauert hat oder für mehr als drei Monate eingegangen ist. Sind durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag nicht längere Zeitabschnitte bestimmt, so hat der Arbeitgeber im ersten Dienstjahr den Lohn für drei Wochen und nachher für eine angemessene längere Zeit zu entrichten, je nach der Dauer des Arbeitsverhältnisses und den besonderen Umständen. Bei Schwangerschaft der Arbeitnehmerin hat der Arbeitgeber den Lohn im gleichen Umfang zu entrichten. Durch schriftliche Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann eine von den vorstehenden Bestimmungen abweichende Regelung getroffen werden, wenn sie für den Arbeitnehmer mindestens gleichwertig ist.;para_1 para_2 para_3 para_4;"Wird der Arbeitnehmer aus Gründen, die in seiner Person liegen, wie Krankheit, Unfall, Erfüllung gesetzlicher Pflichten oder Ausübung eines öffentlichen Amtes, ohne sein Verschulden an der Arbeitsleistung verhindert, so hat ihm der Arbeitgeber für eine beschränkte Zeit den darauf entfallenden Lohn zu entrichten, samt einer angemessenen Vergütung für ausfallenden Naturallohn, sofern das Arbeitsverhältnis mehr als drei Monate gedauert hat oder für mehr als drei Monate eingegangen ist. Sind durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag nicht längere Zeitabschnitte bestimmt, so hat der Arbeitgeber im ersten Dienstjahr den Lohn für drei Wochen und nachher für eine angemessene längere Zeit zu entrichten, je nach der Dauer des Arbeitsverhältnisses und den besonderen Umständen. {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/2005/217', 'b': '2005', '#text': 'AS  1429'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2002/1197', 'b': '2002', '#text': 'BBl  7522'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2003/169', 'b': '2003', '#text': '1112'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/2003/381', '#text': '2923'}], '#text': 'Fassung gemäss Anhang Ziff. 1 des BG vom 3. Okt. 2003, in Kraft seit 1. Juli 2005  (; , ).'}}, '#text': 'Bei Schwangerschaft der Arbeitnehmerin hat der Arbeitgeber den Lohn im gleichen Umfang zu entrichten.'} Durch schriftliche Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann eine von den vorstehenden Bestimmungen abweichende Regelung getroffen werden, wenn sie für den Arbeitnehmer mindestens gleichwertig ist."
10;III. Lohn bei Verhinderung an der Arbeitsleistung;art_324_b;Ist der Arbeitnehmer auf Grund gesetzlicher Vorschrift gegen die wirtschaftlichen Folgen unverschuldeter Arbeitsverhinderung aus Gründen, die in seiner Person liegen, obligatorisch versichert, so hat der Arbeitgeber den Lohn nicht zu entrichten, wenn die für die beschränkte Zeit geschuldeten Versicherungsleistungen mindestens vier Fünftel des darauf entfallenden Lohnes decken. Sind die Versicherungsleistungen geringer, so hat der Arbeitgeber die Differenz zwischen diesen und vier Fünfteln des Lohnes zu entrichten. Werden die Versicherungsleistungen erst nach einer Wartezeit gewährt, so hat der Arbeitgeber für diese Zeit mindestens vier Fünftel des Lohnes zu entrichten.;para_1 para_2 para_3;"Ist der Arbeitnehmer auf Grund gesetzlicher Vorschrift gegen die wirtschaftlichen Folgen unverschuldeter Arbeitsverhinderung aus Gründen, die in seiner Person liegen, obligatorisch versichert, so hat der Arbeitgeber den Lohn nicht zu entrichten, wenn die für die beschränkte Zeit geschuldeten Versicherungsleistungen mindestens vier Fünftel des darauf entfallenden Lohnes decken. Sind die Versicherungsleistungen geringer, so hat der Arbeitgeber die Differenz zwischen diesen und vier Fünfteln des Lohnes zu entrichten. {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1982/1676_1676_1676', 'b': '1982', '#text': 'AS  1676'}, {'@href': 'https://fedlex.data.admin.ch/eli/oc/1982/1724_1724_1724', '#text': '1724'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1976/3_141_143_155', 'b': '1976', '#text': 'BBl  III 141'}], '#text': 'Eingefügt durch Anhang Ziff. 12 des Unfallversicherungsgesetzes vom 20. März 1981,  in Kraft seit 1. Jan. 1984 (Art. 1 Abs. 1; ).'}}, '#text': 'Werden die Versicherungsleistungen erst nach einer Wartezeit gewährt, so hat der Arbeitgeber für diese Zeit mindestens vier Fünftel des Lohnes zu entrichten.'}"
11;IV. Abtretung und Verpfändung von Lohnforderungen;art_325;"Zur Sicherung familienrechtlicher Unterhalts- und Unterstützungspflichten kann der Arbeitnehmer künftige Lohnforderungen so weit abtreten oder verpfänden, als sie pfändbar sind; auf Ansuchen eines Beteiligten setzt das Betreibungsamt am Wohnsitz des Arbeitnehmers den nach Artikel 93 des Schuldbetreibungs- und Konkursgesetzes vom 11. April 1889 unpfändbaren Betrag fest. Die Abtretung und die Verpfändung künftiger Lohnforderungen zur Sicherung anderer Verbindlichkeiten sind nichtig.";para_1 para_2;"{'authorialNote': {'p': {'ref': {'@href': 'https://fedlex.data.admin.ch/eli/cc/11/529_488_529', 'b': '281.1', '#text': 'SR'}}}, '#text': 'Zur Sicherung familienrechtlicher Unterhalts- und Unterstützungspflichten kann der Arbeitnehmer künftige Lohnforderungen so weit abtreten oder verpfänden, als sie pfändbar sind; auf Ansuchen eines Beteiligten setzt das Betreibungsamt am Wohnsitz des Arbeitnehmers den nach Artikel 93 des Schuldbetreibungs- und Konkursgesetzes vom 11. April 1889 unpfändbaren Betrag fest.'} Die Abtretung und die Verpfändung künftiger Lohnforderungen zur Sicherung anderer Verbindlichkeiten sind nichtig."
12;IX. Übrige;art_330;Übergibt der Arbeitnehmer zur Sicherung seiner Verpflichtungen aus dem Arbeitsverhältnis dem Arbeitgeber eine Kaution, so hat sie dieser von seinem Vermögen getrennt zu halten und ihm dafür Sicherheit zu leisten. Der Arbeitgeber hat die Kaution spätestens bei Beendigung des Arbeitsverhältnisses zurückzugeben, sofern nicht durch schriftliche Abrede der Zeitpunkt der Rückgabe hinausgeschoben ist. Macht der Arbeitgeber Forderungen aus dem Arbeitsverhältnis geltend und sind diese streitig, so kann er die Kaution bis zum Entscheid darüber insoweit zurückbehalten, muss aber auf Verlangen des Arbeitnehmers den zurückbehaltenen Betrag gerichtlich hinterlegen. Im Konkurs des Arbeitgebers kann der Arbeitnehmer die Rückgabe der von dem Vermögen des Arbeitgebers getrennt gehaltenen Kaution verlangen, unter Vorbehalt der Forderungen des Arbeitgebers aus dem Arbeitsverhältnis.;para_1 para_2 para_3 para_4;Übergibt der Arbeitnehmer zur Sicherung seiner Verpflichtungen aus dem Arbeitsverhältnis dem Arbeitgeber eine Kaution, so hat sie dieser von seinem Vermögen getrennt zu halten und ihm dafür Sicherheit zu leisten. Der Arbeitgeber hat die Kaution spätestens bei Beendigung des Arbeitsverhältnisses zurückzugeben, sofern nicht durch schriftliche Abrede der Zeitpunkt der Rückgabe hinausgeschoben ist. Macht der Arbeitgeber Forderungen aus dem Arbeitsverhältnis geltend und sind diese streitig, so kann er die Kaution bis zum Entscheid darüber insoweit zurückbehalten, muss aber auf Verlangen des Arbeitnehmers den zurückbehaltenen Betrag gerichtlich hinterlegen. Im Konkurs des Arbeitgebers kann der Arbeitnehmer die Rückgabe der von dem Vermögen des Arbeitgebers getrennt gehaltenen Kaution verlangen, unter Vorbehalt der Forderungen des Arbeitgebers aus dem Arbeitsverhältnis.
13;IX. Übrige;art_330_a;Der Arbeitnehmer kann jederzeit vom Arbeitgeber ein Zeugnis verlangen, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über seine Leistungen und sein Verhalten ausspricht. Auf besonderes Verlangen des Arbeitnehmers hat sich das Zeugnis auf Angaben über die Art und Dauer des Arbeitsverhältnisses zu beschränken.;para_1 para_2;Der Arbeitnehmer kann jederzeit vom Arbeitgeber ein Zeugnis verlangen, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über seine Leistungen und sein Verhalten ausspricht. Auf besonderes Verlangen des Arbeitnehmers hat sich das Zeugnis auf Angaben über die Art und Dauer des Arbeitsverhältnisses zu beschränken.
14;IX. Übrige;art_330_b;Werden Vertragselemente, die nach Absatz 1 mitteilungspflichtig sind, während des Arbeitsverhältnisses geändert, so sind die Änderungen dem Arbeitnehmer spätestens einen Monat nachdem sie wirksam geworden sind, schriftlich mitzuteilen.;para_2;Werden Vertragselemente, die nach Absatz 1 mitteilungspflichtig sind, während des Arbeitsverhältnisses geändert, so sind die Änderungen dem Arbeitnehmer spätestens einen Monat nachdem sie wirksam geworden sind, schriftlich mitzuteilen.
15;V. Akkordlohnarbeit;art_326;Hat der Arbeitnehmer vertragsgemäss ausschliesslich Akkordlohnarbeit nur für einen Arbeitgeber zu leisten, so hat dieser genügend Arbeit zuzuweisen. Ist der Arbeitgeber ohne sein Verschulden ausserstande, vertragsgemässe Akkordlohnarbeit zuzuweisen oder verlangen die Verhältnisse des Betriebes vorübergehend die Leistung von Zeitlohnarbeit, so kann dem Arbeitnehmer solche zugewiesen werden. Ist der Zeitlohn nicht durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt, so hat der Arbeitgeber dem Arbeitnehmer den vorher durchschnittlich verdienten Akkordlohn zu entrichten. Kann der Arbeitgeber weder genügend Akkordlohnarbeit noch Zeitlohnarbeit zuweisen, so bleibt er gleichwohl verpflichtet, nach den Vorschriften über den Annahmeverzug den Lohn zu entrichten, den er bei Zuweisung von Zeitlohnarbeit zu entrichten hätte.;para_1 para_2 para_3 para_4;Hat der Arbeitnehmer vertragsgemäss ausschliesslich Akkordlohnarbeit nur für einen Arbeitgeber zu leisten, so hat dieser genügend Arbeit zuzuweisen. Ist der Arbeitgeber ohne sein Verschulden ausserstande, vertragsgemässe Akkordlohnarbeit zuzuweisen oder verlangen die Verhältnisse des Betriebes vorübergehend die Leistung von Zeitlohnarbeit, so kann dem Arbeitnehmer solche zugewiesen werden. Ist der Zeitlohn nicht durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt, so hat der Arbeitgeber dem Arbeitnehmer den vorher durchschnittlich verdienten Akkordlohn zu entrichten. Kann der Arbeitgeber weder genügend Akkordlohnarbeit noch Zeitlohnarbeit zuweisen, so bleibt er gleichwohl verpflichtet, nach den Vorschriften über den Annahmeverzug den Lohn zu entrichten, den er bei Zuweisung von Zeitlohnarbeit zu entrichten hätte.
16;V. Akkordlohnarbeit;art_326_a;Hat der Arbeitnehmer vertraglich Akkordlohnarbeit zu leisten, so hat ihm der Arbeitgeber den Akkordlohnansatz vor Beginn der einzelnen Arbeit bekanntzugeben. Unterlässt der Arbeitgeber diese Bekanntgabe, so hat er den Lohn nach dem für gleichartige oder ähnliche Arbeiten festgesetzten Ansatz zu entrichten.;para_1 para_2;Hat der Arbeitnehmer vertraglich Akkordlohnarbeit zu leisten, so hat ihm der Arbeitgeber den Akkordlohnansatz vor Beginn der einzelnen Arbeit bekanntzugeben. Unterlässt der Arbeitgeber diese Bekanntgabe, so hat er den Lohn nach dem für gleichartige oder ähnliche Arbeiten festgesetzten Ansatz zu entrichten.
17;VI. Arbeitsgeräte, Material und Auslagen;art_327;Ist nichts anderes verabredet oder üblich, so hat der Arbeitgeber den Arbeitnehmer mit den Geräten und dem Material auszurüsten, die dieser zur Arbeit benötigt. Stellt im Einverständnis mit dem Arbeitgeber der Arbeitnehmer selbst Geräte oder Material für die Ausführung der Arbeit zur Verfügung, so ist er dafür angemessen zu entschädigen, sofern nichts anderes verabredet oder üblich ist.;para_1 para_2;Ist nichts anderes verabredet oder üblich, so hat der Arbeitgeber den Arbeitnehmer mit den Geräten und dem Material auszurüsten, die dieser zur Arbeit benötigt. Stellt im Einverständnis mit dem Arbeitgeber der Arbeitnehmer selbst Geräte oder Material für die Ausführung der Arbeit zur Verfügung, so ist er dafür angemessen zu entschädigen, sofern nichts anderes verabredet oder üblich ist.
18;VI. Arbeitsgeräte, Material und Auslagen;art_327_a;Der Arbeitgeber hat dem Arbeitnehmer alle durch die Ausführung der Arbeit notwendig entstehenden Auslagen zu ersetzen, bei Arbeit an auswärtigen Arbeitsorten auch die für den Unterhalt erforderlichen Aufwendungen. Durch schriftliche Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann als Auslagenersatz eine feste Entschädigung, wie namentlich ein Taggeld oder eine pauschale Wochen- oder Monatsvergütung festgesetzt werden, durch die jedoch alle notwendig entstehenden Auslagen gedeckt werden müssen. Abreden, dass der Arbeitnehmer die notwendigen Auslagen ganz oder teilweise selbst zu tragen habe, sind nichtig.;para_1 para_2 para_3;Der Arbeitgeber hat dem Arbeitnehmer alle durch die Ausführung der Arbeit notwendig entstehenden Auslagen zu ersetzen, bei Arbeit an auswärtigen Arbeitsorten auch die für den Unterhalt erforderlichen Aufwendungen. Durch schriftliche Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann als Auslagenersatz eine feste Entschädigung, wie namentlich ein Taggeld oder eine pauschale Wochen- oder Monatsvergütung festgesetzt werden, durch die jedoch alle notwendig entstehenden Auslagen gedeckt werden müssen. Abreden, dass der Arbeitnehmer die notwendigen Auslagen ganz oder teilweise selbst zu tragen habe, sind nichtig.
